,1. open,2. high,3. low,4. close,5. volume
2009-04-09,626.4053,626.4053,626.4053,626.4053,0
2009-04-08,626.4053,626.4053,626.4053,626.4053,9
2009-04-07,626.4053,626.4053,626.4053,626.4053,50
2009-04-06,626.4053,626.4053,626.4053,626.4053,0
2009-04-03,626.4053,626.4053,626.4053,626.4053,0
2009-04-02,626.4053,626.4053,626.4053,626.4053,0
2009-04-01,626.4053,626.4053,626.4053,626.4053,0
2009-03-31,626.4053,626.4053,626.4053,626.4053,0
2009-03-30,626.4053,626.4053,626.4053,626.4053,0
2009-03-27,626.4053,626.4053,626.4053,626.4053,0
2009-03-26,626.4053,626.4053,626.4053,626.4053,0
2009-03-25,626.4053,626.4053,626.4053,626.4053,0
2009-03-24,626.4053,626.4053,626.4053,626.4053,25
2009-03-23,626.4053,626.4053,626.4053,626.4053,0
2009-03-20,626.4053,626.4053,626.4053,626.4053,0
2009-03-19,626.4053,626.4053,626.4053,626.4053,0
2009-03-18,626.4053,626.4053,626.4053,626.4053,0
2009-03-17,626.4053,626.4053,626.4053,626.4053,0
2009-03-16,626.4053,626.4053,626.4053,626.4053,0
2009-03-13,626.4053,626.4053,626.4053,626.4053,0
2009-03-12,626.4053,626.4053,626.4053,626.4053,525
